time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0.46,0.14643,0.0150643,0.336911,-0.0352849,-0.00200915,-0.0663192,0.997172,0.616196,0.233615,-0.113941,-0.936025,-1.66604,-0.331377,0.114374,0.120021,-1.07254,0.0361139,0.89294,-1.05969,-0.0198472,0.468717,-1.3427,-0.0934241,0.883948,-1.32883,0.336248,-3.36801,10.0426,-0.0312258,0.564365,4.27497,-0.371849,5.69941,-5.09439,-0.262146,4.93823,-12.5897,0,1,1,0,
0.48,0.158984,0.0196345,0.33443,-0.0427244,-0.0183314,-0.0689521,0.996536,0.639201,0.222533,-0.134464,-0.76173,-1.4306,-0.0905924,0.112679,0.155277,-1.03044,0.0311214,0.901638,-0.967061,-0.0302199,0.581371,-1.43662,-0.0948891,0.940312,-1.58239,-0.0847359,1.76283,2.10467,-0.249625,0.434924,4.63121,-0.518634,5.63274,-4.69593,-0.0732541,2.8182,-12.6781,1,1,1,0,
0.5,0.171996,0.0239306,0.33152,-0.0484929,-0.0299235,-0.0690249,0.995986,0.661969,0.206209,-0.156776,-0.547213,-0.723529,0.144596,0.104269,0.232498,-1.07727,0.0229806,0.908091,-0.882145,-0.0417053,0.6784,-1.51163,-0.0915285,0.923618,-1.77179,-0.420506,3.86106,-2.34115,-0.407038,0.32265,4.24584,-0.57427,4.85141,-3.75077,0.168032,-0.834699,-9.46979,1,1,1,0,
0.52,0.185454,0.0278351,0.328198,-0.0525981,-0.0331901,-0.0665015,0.995846,0.68349,0.182728,-0.173135,-0.341975,0.120294,0.354831,0.0909422,0.303054,-1.14958,0.0130695,0.914263,-0.818337,-0.0518458,0.748084,-1.56026,-0.0838082,0.848474,-1.86713,-0.666353,3.52776,-3.61566,-0.495556,0.308568,3.19036,-0.507022,3.48424,-2.43149,0.386015,-3.7572,-4.76681,1,1,1,0,
0.54,0.199321,0.0311793,0.324686,-0.0553666,-0.0290251,-0.06178,0.99613,0.702752,0.150179,-0.175793,-0.19257,0.76486,0.518126,0.0738713,0.366327,-1.2394,0.00300774,0.920094,-0.772056,-0.058695,0.792473,-1.58503,-0.0721026,0.762129,-1.86769,-0.853545,3.16366,-4.4911,-0.503088,0.291564,2.31405,-0.342461,2.21943,-1.23847,0.585279,-4.31723,-0.0282976,1,1,1,0,
0.56,0.213549,0.0337818,0.321258,-0.0572197,-0.0194283,-0.0554115,0.996633,0.719754,0.108561,-0.164751,-0.098905,1.21049,0.630715,0.0545498,0.422522,-1.33591,-0.00554913,0.923818,-0.734081,-0.0609419,0.817106,-1.59005,-0.0440995,0.600873,-1.76427,-0.966075,2.80974,-4.82537,-0.427844,0.186211,1.89877,-0.112347,1.23163,-0.251064,1.40016,-8.06281,5.17122,1,1,1,0,
0.58,0.228096,0.0354613,0.318187,-0.0585623,-0.00639286,-0.0479872,0.997109,0.734496,0.0578729,-0.14001,-0.05569,1.4563,0.691062,0.0348922,0.472661,-1.43038,-0.0110472,0.922885,-0.694578,-0.057843,0.827422,-1.57873,-0.0100919,0.388613,-1.5687,-0.982884,2.507,-4.72364,-0.274903,-0.0466541,1.97517,0.154944,0.51581,0.566073,1.70038,-10.613,9.77844,1,1,1,0,
0.6,0.242914,0.0360363,0.315749,-0.059745,0.00808391,-0.0401279,0.997374,0.746978,-0.00188391,-0.101569,-0.0544296,1.5009,0.699123,0.0173367,0.518524,-1.51575,-0.0115082,0.941712,-0.720227,-0.0491785,0.828708,-1.55405,0.0199675,0.169585,-1.31276,-0.877775,2.2931,-4.26854,-0.0230531,0.941351,-1.28245,0.433227,0.0643145,1.23401,1.50297,-10.9514,12.7967,1,0,1,0,
0.62,0.257961,0.035379,0.314131,-0.0608945,0.0220888,-0.0323816,0.997374,0.757451,-0.0626802,-0.0621972,-0.0389301,1.36993,0.679978,0.0041469,0.562332,-1.58669,-0.00613494,1.0413,-1.01138,-0.0355072,0.826006,-1.51905,0.0425911,-0.0160142,-1.05515,-0.659488,2.19044,-3.54673,0.268665,4.97943,-14.5578,0.683566,-0.135105,1.75002,1.13118,-9.27994,12.8807,1,0,1,0,
0.64,0.273201,0.0335757,0.313182,-0.0614734,0.0340748,-0.0249589,0.997215,0.766166,-0.116486,-0.0346623,0.0441387,1.09177,0.654466,-0.00492535,0.606431,-1.64119,-0.000194863,1.1194,-1.35872,-0.0190527,0.823994,-1.47782,0.0561797,-0.104656,-0.911338,-0.453613,2.20492,-2.72512,0.297004,3.90515,-17.367,0.822724,-0.10059,2.06136,0.679429,-4.43207,7.19063,1,0,1,0,
